Date,Event
2000-03-20,"Six weeks after the fall of Grozny, the Chechen Republic of Ichkeria is overthrown as a state following its defeat in the Battle of Komsomolskoye; as an insurgency it continues to resist Russian rule in Chechnya for years."
2000-05-24,"Israel completely withdraws from its occupation zone in southern Lebanon, where it is replaced by United Nations Interim Force in Lebanon peacekeeping forces."
2000-06-12,Saudi Arabia and Yemen sign a treaty resolving their border dispute.
2000-08-17,"Colombia returns its capital city's name from Santa Fe de Bogotá back to Bogotá, Distrito Capital."
2000-09-05,"Taloqan, the de facto capital of the Islamic State of Afghanistan, falls to the Taliban's Islamic Emirate of Afghanistan. The capital moves to Fayzabad."
2001-03-16,"The ICJ resolves the territorial dispute between Bahrain and Qatar, awarding Fasht Al Azm, Qit'at Jaradah, and most of the Hawar Islands to Bahrain, and Fasht Dibal, Zubarah, and Janan Island to Qatar."
2001-03-21,Qatar and Saudi Arabia sign a treaty resolving their border dispute.
2001-07-01,"The temporarily independent Puntland State of Somalia adopts a new constitution explicitly identifying itself as an ""independent integral part of Somalia""."
2001-09-11,"Four coordinated suicide attacks by the Islamist jihadist organisation Al-Qaeda are organized against the United States, via hijacking commercial airliners mid-flight. 2,996 people are killed and the US begins the war on terror."
2001-10-07,"The United States and a NATO-led alliance invade Afghanistan, beginning an occupation which continued until 2021."
2001-11-13,"The capital of the Islamic State of Afghanistan returns to Kabul with the reconquest of the city by the forces of the Northern Alliance, beginning a cascading collapse of the Taliban forces of the Islamic Emirate of Afghanistan."
2001-12-17,The Islamic Emirate of Afghanistan is completely overthrown following its defeat in the Battle of Tora Bora. The Taliban soon reemerges as an insurgency.
2001-12-23,The Federal Islamic Republic of the Comoros changes its name to the Union of the Comoros.
2002-02-14,The State of Bahrain changes its name to the Kingdom of Bahrain.
2002-03-10,The Union of the Comoros reabsorbs the de facto independent State of Anjouan. Mutsamudu yields to Moroni as the capital.
2002-05-20,The Democratic Republic of Timor-Leste gains independence with the promulgation of a constitution and the conclusion of the United Nations Transitional Administration in East Timor. Dili remains the capital.
2002-05-21,The United Kingdom changes the title of its British Dependent Territories to that of British Overseas Territories. The citizens of each British Overseas Territory gain full British citizenship.
2003-02-04,The Federal Republic of Yugoslavia changes its name to the State Union of Serbia and Montenegro.
2003-03-20,"United States-led coalition forces invade Iraq, beginning an occupation which lasts for more than eight years."
2003-04-15,"United States forces conquer Tikrit, the last stronghold of Ba'athist Iraq."
2003-03-28,France reorganizes the Territorial collectivity of Saint Pierre and Miquelon as the Overseas collectivity of Saint Pierre and Miquelon.
2003-05-26,The Rwandese Republic changes its name to the Republic of Rwanda.
2004-01-09,"Kazakhstan agrees to a revision of the terms of Russia's lease of the Baikonur Cosmodrome, extending it to 2050 with no established options on further extensions."
2004-02-27,France elevates the Overseas collectivity of French Polynesia to the Overseas Country of French Polynesia.
