Date,Event
1900-01-01,The Northern Nigeria Protectorate is established by the United Kingdom.
1900-02-16,The United States of America takes control of American Samoa under the terms of the Tripartite Convention.
1900-04-21,"The United Kingdom annexes the island of Niue, making it a British protectorate."
1900-05-28,The United Kingdom occupies the Orange Free State.
1900-09-05,The colony of French Chad is established. Fort-Lamy is the capital.
1901-01-01,"The Commonwealth of Australia is established by federation of the British colonies of New South Wales, Victoria, Queensland, South Australia, Western Australia and Tasmania. Melbourne was the de facto (but not de jure) seat of government from 1901 to 1927."
1901-03-23,The First Philippine Republic dissolves.
1901-06-11,The United Kingdom transfers the Cook Islands and Niue to the Colony of New Zealand.
1901-09-26,The United Kingdom occupies the Ashanti Empire and makes it a crown colony.
1902-05-20,The Republic of Cuba gains independence from the United States of America. Havana is the capital.
1902-05-31,The United Kingdom creates the Orange River Colony from the Orange Free State and the Transvaal Colony from the South African Republic (Republic of Transvaal). Bloemfontein and Pretoria remains the respective capitals.
1902-07-01,The United Kingdom annexes Henderson Island.
1902-07-10,The United Kingdom annexes Oeno Island.
1902-11-20,King Edward VII of Britain adjusts borders in the Cordillera of the Andes Boundary Case between Chile and Argentina.
1902-12-19,The United Kingdom annexes Ducie Island.
1903-01-27,The Third Republic of Acre declares its independence from Bolivia. The capital is Cidade do Acre.
1903-02-23,Cuba leases Guantanamo Bay to the United States of America in perpetuity.
1903-05-12,Mauritania becomes a protectorate of the French Republic. Saint-Louis is the capital.
1903-07-29,The Adamawa Emirate is annexed into the British Northern Nigeria Protectorate and German Kamerun.
1903-10-20,The Alaska boundary dispute is resolved between the United States of America and Canada.
1903-11-03,The Republic of Panama secedes from the Republic of Colombia. Panama City is the capital.
1903-11-11,"The Republic of Bolivia and the Republic of the United States of Brazil sign the Treaty of Petrópolis. Bolivia receives land in Mato Grosso from Brazil, and Brazil absorbs the Republic of Acre."
1903-11-18,The new Republic of Panama grants the United States of America control of the Panama Canal Zone. Balboa is the administrative center.
1904-02-13,"Following the Franco-Siamese Convention, the Kingdom of Siam concedes border territories to French Indochina in exchange for French-occupied Chantaburi."
1904-05-04,The United States of America annexed the Panama Canal Zone.
1904-10-04,The Franco-Spanish Convention of Paris acknowledges formal control of Saguia el-Hamra (later northern Spanish Sahara) by the Kingdom of Spain.
1905-06-07,The Kingdom of Norway declares its independence from the United Kingdoms of Sweden and Norway through dissolution of the personal union with Kingdom of Sweden.
1905-09-05,The Liaodong Peninsula and the Russian railway in south Manchuria are leased to the Empire of Japan following the Treaty of Portsmouth.
1905-10-26,The Kingdom of Sweden recognizes the union dissolution and the independence of Kingdom of Norway.
1906-05-01,The British Colony of Lagos and the Southern Nigeria Protectorate merge to form the Colony and Protectorate of Southern Nigeria.
1907-03-23,The Kingdom of Siam concedes territory to French Indochina in exchange for Trat.
1907-04-24,"The border between the Republic of the United States of Brazil and the Republic of Colombia is defined by the Bogotá Treaty. Brazil gains lands on the margins of the Solimoes River at the area known as Cabeça de Cachorro (""The Dog's Head"")."
1907-07-06,The British Central Africa Protectorate is renamed to Nyasaland Protectorate.
1907-09-26,New Zealand becomes a Dominion within the British Empire under the name Dominion of New Zealand. Wellington is the capital. The Dominion of Newfoundland is also declared the same day. St. John's is the capital.
1907-11-16,Oklahoma is admitted to the Union as the 46th State of the United States.
1907-12-17,Ugyen Wangchuck establishes the Kingdom of Bhutan. Punakha is the winter capital and Thimphu is the summer capital.
1908-10-05,The Kingdom of Bulgaria gains independence from the Ottoman Empire. Sofia is the capital.
1908-10-06,Austria-Hungary formally annexes the Ottoman Vilayet of Bosnia (under de facto Austro-Hungarian rule since the Treaty of Berlin 1878) as the Condominium of Bosnia and Herzegovina (causing the Bosnian crisis).
1908-11-15,King Leopold II of Belgium sells his private Congo Free State to the Kingdom of Belgium. The colony is renamed the Belgian Congo.
1909-07-09,The Kingdom of Siam transfers its southernmost provinces to British Malaya in the Anglo-Siamese Treaty of 1909.
1910-01-15,"The French Republic creates French Equatorial Africa from its colonies of Gabon, Middle Congo, and Oubangui-Chari. Libreville and Bangui yield to Brazzaville as the capital."
1910-03-29,23 bancos are annexed by Mexico from the United States and 34 bancos are annexed by the United States of America from Mexico with the first application of the Banco Convention of 1905.
1910-05-31,"The Cape Colony, the Colony of Natal, the Transvaal, and the Orange River Colony unite as the Union of South Africa, which is established as a Dominion under the terms of the South Africa Act 1909."
1910-08-20,Canada rescinds its claim to Pope's Folly Island in a treaty with the United States of America.
1910-08-22,The Korean Empire capitulates and is annexed by the Empire of Japan.
1910-10-05,The first Portuguese Republic supersedes the Kingdom of Portugal.
1911-08-17,The United Kingdom unites Barotziland–North-Western Rhodesia and North-Eastern Rhodesia to form Northern Rhodesia.
1911-11-04,"In the Morocco–Congo Treaty, Germany acquires the Neukamerun region from France in exchange for abandoning German claims in Morocco."
1911-12-29,The Bogd Khanate of Mongolia declares independence from the Qing dynasty of China. Niislel Khüree is the capital.
1912-01-01,The Republic of China overthrows the Qing dynasty of China in the Xinhai Revolution. Nanking is the provisional capital.
1912-01-06,New Mexico is admitted to the Union as the 47th State of the United States.
1912-02-14,Arizona is admitted to the Union as the 48th State of the United States.
1912-03-30,The Treaty of Fez formally re-establishes Morocco as a French Protectorate.
1912-11-07,Mexico annexes 20 bancos from the United States and the United States of America annexes 11 bancos from Mexico.
1912-11-27,The Treaty Between France and Spain Regarding Morocco assigns the northern and southern strips of Morocco to Spain.
1912-11-28,Albania declares its independence from the Ottoman Empire. Tirana is the capital.
1913-02-13,Tibet declares independence from the Republic of China.
1913-08-10,"Following the First Balkan War, the Treaty of Bucharest is signed, by the terms of which:
Bulgaria gains Western Thrace and the southern portions of what are now Blagoevgrad Province and Burgas Province.
Romania gains Southern Dobruja.
Serbia gains Kosovo, most of what is now the Republic of Northern Macedonia, and some new land to the west of its previous borders.
Greece gains Epirus, West Macedonia, Central Macedonia, and most of the islands in the Aegean Sea that it did not control before the war.
Albania gains southern, eastern, and northern lands that bring it to its current borders.
Albania becomes officially independent, though large portions of its lands remain disputed.
Montenegro gains most of what is now its Northern Region."
1913-09-29,"Following the Second Balkan War, the Treaty of Constantinople is signed, by the terms of which:
The Ottoman Empire regains the portions of Eastern Thrace it lost in the First Balkan War.
The Balkan League gains all Ottoman territory west of the line joining Enez and Kıyıköy; thus the Ottomans lose all their European territory, except for what is roughly the southeastern half of Turkey's present-day European territory."
1914-01-01,The United Kingdom unites the Colony and Protectorate of Southern Nigeria and the Northern Nigeria Protectorate to form the Colony and Protectorate of Nigeria. Lagos is the capital.
1914-03-07,Albania becomes the Principality of Albania.
1914-04-17,Tannu Uriankhai is officially made a protectorate of the Russian Empire.
1914-07-28,"Following the assassination of Archduke Franz Ferdinand, Austria-Hungary declares war on Serbia, precipitating the First World War."
1914-09-01,The Russian Empire changes the name of its capital from Saint Petersburg to Petrograd.
